Job History Comparison
Report Type,Job Name,Device,Job Type,Job ID
"Pre-Deployment","Deploy_Job_55","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179893792"
"Pre-Deployment","Deploy_Job_54","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179893653"
"Pre-Deployment","Deploy_Job_53","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179888154"
"Pre-Deployment","Deploy_Job_52","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179888015"
"Pre-Deployment","Deploy_Job_51","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179887871"
"Post-Deployment","Deploy_Job_55","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179893792"
"Post-Deployment","Deploy_Job_54","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179893653"
"Post-Deployment","Deploy_Job_53","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179888154"
"Post-Deployment","Deploy_Job_52","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179888015"
"Post-Deployment","Deploy_Job_51","ciscoftd01","DEPLOYMENT","0050569B-DF62-0ed3-0000-017179887871"
