Name,Type,ObjectType,Members,Value,Description,UUID,DateTime
"any-ipv4","Object","Network Object","","0.0.0.0/0","","cb7116e8-66a6-480b-8f9b-295191a0940a","2025-09-01 19:38:45"
"inside_network","Object","Network Object","","192.168.100.0/24","inside_network","0050569B-DF62-0ed3-0000-004295214249","2025-09-01 19:38:45"
"IPv4-Benchmark-Tests","Object","Network Object","","198.18.0.0/15","","86caab8a-9bdd-420d-858b-5690fde8ce58","2025-09-01 19:38:45"
"IPv4-Link-Local","Object","Network Object","","169.254.0.0/16","","f0ce41ae-6ee9-4e00-8762-da9370c4fee5","2025-09-01 19:38:45"
"IPv4-Multicast","Object","Network Object","","224.0.0.0/4","","5622db1c-5cd5-4199-a4c8-d8f86dec3bd4","2025-09-01 19:38:45"
"IPv4-Private-10.0.0.0-8","Object","Network Object","","10.0.0.0/8","","95916354-5aa1-4057-8eea-b42a5a207abc","2025-09-01 19:38:45"
"IPv4-Private-172.16.0.0-12","Object","Network Object","","172.16.0.0/12","","b7a78a7d-20c5-47b2-b02f-86b4360112ac","2025-09-01 19:38:45"
"IPv4-Private-192.168.0.0-16","Object","Network Object","","192.168.0.0/16","","1dcefdd8-07f7-438a-9221-97d63710614e","2025-09-01 19:38:45"
"IPv6-IPv4-Mapped","Object","Network Object","","::ffff:0.0.0.0/96","","1047b91f-db3a-45b8-9c10-f48ed3f0c3d6","2025-09-01 19:38:45"
"IPv6-Link-Local","Object","Network Object","","fe80::/10","","192c14f2-39d9-409d-81e9-357793bdf1ec","2025-09-01 19:38:45"
"IPv6-Private-Unique-Local-Addresses","Object","Network Object","","fc00::/7","","0434674f-87f8-4e17-810e-97100407858b","2025-09-01 19:38:45"
"IPv6-to-IPv4-Relay-Anycast","Object","Network Object","","192.88.99.0/24","","04ea3f1f-f5a9-4eca-b051-487ebeb4c97f","2025-09-01 19:38:45"
"NET_APPS","Object","Network Object","","172.20.30.0/24","","0050569B-DF62-0ed3-0000-004295153903","2025-09-01 19:38:45"
"NET_USERS","Object","Network Object","","172.20.10.0/24","","0050569B-DF62-0ed3-0000-004295153885","2025-09-01 19:38:45"
"outside_network","Object","Network Object","","192.168.200.0/24","","0050569B-DF62-0ed3-0000-004295214267","2025-09-01 19:38:45"
"Vlan_197_inside","Object","Network Object","","192.168.197.0/24","Vlan 197","0050569B-DF62-0ed3-0000-004295215495","2025-09-01 19:38:45"
"any","Group","Network Group","0.0.0.0/0; ::/0","any","","69fa2a3a-4487-4e3c-816f-4098f684826e","2025-09-01 19:38:45"
"IPv4-Private-All-RFC1918","Group","Network Group","10.0.0.0/8; 172.16.0.0/12; 192.168.0.0/16","IPv4-Private-All-RFC1918","","15b12b14-dace-4117-b9d9-a9a7dcfa356f","2025-09-01 19:38:45"
"USERS_AND_WEB","Group","Network Group","NET_USERS; HOST_WEB_1","USERS_AND_WEB","","0050569B-DF62-0ed3-0000-004295171327","2025-09-01 19:38:45"
"AOL","Object","Port Object","","5190","","1834d812-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"Bittorrent","Object","Port Object","","6881-6889","","1834e5f0-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"DNS_over_TCP","Object","Port Object","","53","","1834e712-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"DNS_over_UDP","Object","Port Object","","53","","1834e8ca-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"FTP","Object","Port Object","","21","","1834c674-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"HTTP","Object","Port Object","","80","","18312adc-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"HTTPS","Object","Port Object","","443","","1834bd00-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"IMAP","Object","Port Object","","143","","1834c37c-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"LDAP","Object","Port Object","","389","","1834d01a-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"NFSD-TCP","Object","Port Object","","2049","","1834c9c6-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"NFSD-UDP","Object","Port Object","","2049","","1834caac-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"NTP-TCP","Object","Port Object","","123","","1834cb92-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"NTP-UDP","Object","Port Object","","123","","1834cc96-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"POP-2","Object","Port Object","","109","","1834c462-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"POP-3","Object","Port Object","","110","","1834c548-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"RADIUS","Object","Port Object","","1645","","1834ce94-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"RIP","Object","Port Object","","520","","1834d114-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"SIP","Object","Port Object","","5060","","1834d204-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"SMTP","Object","Port Object","","25","","1834bf44-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"SMTPS","Object","Port Object","","465","","1834c07a-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"SNMP","Object","Port Object","","161","","1834c264-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"SSH","Object","Port Object","","22","","1834c890-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"SYSLOG","Object","Port Object","","514","","1834d6e6-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"TCP_443","Object","Port Object","","443","","0050569B-DF62-0ed3-0000-004295153921","2025-09-01 19:38:45"
"TCP_8443","Object","Port Object","","8443","","0050569B-DF62-0ed3-0000-004295153939","2025-09-01 19:38:45"
"TCP_high_ports","Object","Port Object","","1021-65535","","1834e50a-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"TELNET","Object","Port Object","","23","","28e058e4-43b0-11e2-9bcd-7c2f9ed9bbee","2025-09-01 19:38:45"
"TFTP","Object","Port Object","","69","","1834d5e2-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"UDP_53","Object","Port Object","","53","","0050569B-DF62-0ed3-0000-004295153957","2025-09-01 19:38:45"
"Yahoo_Messenger_Messages","Object","Port Object","","5050","","1834da1a-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"YahooMessenger_Voice_Chat_TCP","Object","Port Object","","5000-5001","","1834db96-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"YahooMessenger_Voice_Chat_UDP","Object","Port Object","","5000-5010","","1834dc86-38bb-11e2-86aa-62f0c593a59a","2025-09-01 19:38:45"
"WEB_SVCS","Group","Port Group","TCP_443; TCP_8443","WEB_SVCS","","0050569B-DF62-0ed3-0000-004295171345","2025-09-01 19:38:45"
